Alloy formula;Alloy class;Cu;Al;Ag;B;Be;Ca;Co;Ce;Cr;Fe;Hf;La;Mg;Mn;Mo;Nb;Nd;Ni;P;Pb;Pr;Si;Sn;Ti;V;Zn;Zr;Tss (K);tss (h);CR reduction (%);Aging;Tag (K);tag (h);Secondary thermo-mechanical process;Hardness (HV);Yield strength (MPa);Ultimate tensile strength (MPa);Electrical conductivity (%IACS);DOI
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;N;;;N;85;;;45;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;0.25;N;87;;;45;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;0.5;N;88;;;47;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;1;N;92;;;50;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;2;N;100;;;59;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;4;N;112;;;74;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;8;N;120;;;78;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;673;16;N;126;;;80;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;723;0.25;N;101;;;55;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;723;0.5;N;124;;;66;http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr;Cu low alloyed;99.6;0;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;1;0;Y;723;1;N;132;;;78;http://dx.doi.org/10.1016/j.msea.2005.09.118
